home_buildUpPlaySpeed,home_buildUpPlayDribbling,home_buildUpPlayPassing,home_chanceCreationPassing,home_chanceCreationCrossing,home_chanceCreationShooting,home_defencePressure,home_defenceAggression,home_defenceTeamWidth,away_buildUpPlaySpeed,away_buildUpPlayDribbling,away_buildUpPlayPassing,away_chanceCreationPassing,away_chanceCreationCrossing,away_chanceCreationShooting,away_defencePressure,away_defenceAggression,away_defenceTeamWidth,home_win_percentage,away_win_percentage,home_avg_goal_diff,away_avg_goal_diff,home_buildUpPlaySpeedClass_Fast,home_buildUpPlaySpeedClass_Slow,home_buildUpPlayDribblingClass_Lots,home_buildUpPlayDribblingClass_Normal,home_buildUpPlayPassingClass_Mixed,home_buildUpPlayPassingClass_Short,home_buildUpPlayPositioningClass_Organised,home_chanceCreationPassingClass_Risky,home_chanceCreationPassingClass_Safe,home_chanceCreationCrossingClass_Lots,home_chanceCreationCrossingClass_Normal,home_chanceCreationShootingClass_Lots,home_chanceCreationShootingClass_Normal,home_chanceCreationPositioningClass_Organised,home_defencePressureClass_High,home_defencePressureClass_Medium,home_defenceAggressionClass_Double,home_defenceAggressionClass_Press,home_defenceTeamWidthClass_Normal,home_defenceTeamWidthClass_Wide,home_defenceDefenderLineClass_Offside Trap,away_buildUpPlaySpeedClass_Fast,away_buildUpPlaySpeedClass_Slow,away_buildUpPlayDribblingClass_Lots,away_buildUpPlayDribblingClass_Normal,away_buildUpPlayPassingClass_Mixed,away_buildUpPlayPassingClass_Short,away_buildUpPlayPositioningClass_Organised,away_chanceCreationPassingClass_Risky,away_chanceCreationPassingClass_Safe,away_chanceCreationCrossingClass_Lots,away_chanceCreationCrossingClass_Normal,away_chanceCreationShootingClass_Lots,away_chanceCreationShootingClass_Normal,away_chanceCreationPositioningClass_Organised,away_defencePressureClass_High,away_defencePressureClass_Medium,away_defenceAggressionClass_Double,away_defenceAggressionClass_Press,away_defenceTeamWidthClass_Normal,away_defenceTeamWidthClass_Wide,away_defenceDefenderLineClass_Offside Trap,stat_diff,chance_creation_diff,goal_difference,win_percentage_diff,result
38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,0.25,0.1746031746031746,-0.6354166666666666,-0.8650793650793651,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-19.0,-27.0,0.22966269841269848,0.0753968253968254,2
50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,0.5,0.4393939393939394,0.6284403669724771,0.07575757575757576,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-17.0,-17.0,0.5526827912149013,0.06060606060606061,1
69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,0.1746031746031746,0.5,-0.8650793650793651,0.6284403669724771,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,21.0,28.0,-1.4935197320518423,-0.3253968253968254,2
52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,0.4393939393939394,0.25,0.07575757575757576,-0.6354166666666666,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,15.0,16.0,0.7111742424242424,0.1893939393939394,0
50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,0.5,0.25,0.6284403669724771,-0.6354166666666666,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,-2.0,-1.0,1.2638570336391437,0.25,2
52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,0.4393939393939394,0.1746031746031746,0.07575757575757576,-0.8650793650793651,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-4.0,-11.0,0.9408369408369409,0.2647907647907648,2
38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,0.25,0.5,-0.6354166666666666,0.6284403669724771,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,2.0,1.0,-1.2638570336391437,-0.25,1
69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,0.1746031746031746,0.4393939393939394,-0.8650793650793651,0.07575757575757576,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,4.0,11.0,-0.9408369408369409,-0.2647907647907648,1
69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,0.1746031746031746,0.25,-0.8650793650793651,-0.6354166666666666,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,19.0,27.0,-0.22966269841269848,-0.0753968253968254,2
52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,0.4393939393939394,0.5,0.07575757575757576,0.6284403669724771,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,17.0,17.0,-0.5526827912149013,-0.06060606060606061,0
